SPS_L,NumRadicalElectrons_L,MaxPartialCharge_L,PEOE_VSA1_L,PEOE_VSA10_L,PEOE_VSA11_L,PEOE_VSA14_L,PEOE_VSA4_L,SlogP_VSA1_L,SlogP_VSA12_L,TPSA_L,EState_VSA9_L,VSA_EState2_L,VSA_EState4_L,NOCount_L,NumAliphaticHeterocycles_L,NumHAcceptors_L,fr_Imine_L,fr_allylic_oxid_L,fr_bicyclic_L,Ligand ID,ln(dr)
18.340425531914892,0.0,0.19986166098992872,9.473725907600098,18.628754398422615,11.795490688715223,0.0,0.0,0.0,0.0,43.18,19.458535372871438,10.841448727639204,1.8020831233728063,4.0,2.0,4.0,2.0,0.0,4.0,L118,0.71
15.066666666666666,0.0,0.23499229937091226,4.736862953800049,12.300809959361379,0.0,0.0,0.0,0.0,0.0,34.480000000000004,4.736862953800049,8.74611725245654,1.8050000000000002,3.0,1.0,3.0,1.0,0.0,1.0,L119,0.04
24.666666666666668,0.0,0.1998058173452715,9.473725907600098,29.706604903189305,11.795490688715223,0.0,0.0,0.0,0.0,43.18,19.458535372871438,10.631983232811432,18.20993874425814,4.0,2.0,4.0,2.0,0.0,6.0,L12,2.13
22.285714285714285,0.0,0.236065990951043,9.473725907600098,23.58924704502863,0.0,0.0,0.0,4.736862953800049,0.0,43.71000000000001,14.466130640235768,9.265789556563366,4.258371047493072,4.0,1.0,4.0,1.0,0.0,3.0,L120,1.99
18.88888888888889,0.0,0.23628279474969746,4.736862953800049,11.735768823996422,6.103966387748303,0.0,0.0,0.0,0.0,34.480000000000004,14.713246207382927,9.682756834215168,3.973906420592929,3.0,1.0,3.0,1.0,0.0,1.0,L122,0.66
22.5,0.0,0.2730143828363262,9.473725907600098,13.213763929025836,0.0,0.0,0.0,0.0,0.0,43.18000000000001,9.473725907600098,9.290917107583775,2.5413578020684113,4.0,2.0,4.0,2.0,0.0,0.0,L127,0.58
27.714285714285715,0.0,0.2732842779732258,9.473725907600098,13.213763929025836,0.0,0.0,0.0,0.0,0.0,43.18,9.473725907600098,8.813240740740742,-0.28978930461073316,4.0,2.0,4.0,2.0,0.0,0.0,L128,0.99
29.125,0.0,0.27301280969532726,9.473725907600098,13.213763929025836,0.0,0.0,0.0,0.0,0.0,43.18,9.473725907600098,9.003947467876039,0.0,4.0,2.0,4.0,2.0,0.0,0.0,L129,0.16
28.620689655172413,0.0,0.19978210912013128,9.473725907600098,29.70660490318931,11.795490688715223,0.0,0.0,0.0,0.0,43.18000000000001,19.458535372871438,10.24396415973797,4.9951990409795455,4.0,2.0,4.0,2.0,0.0,6.0,L13,1.52
30.22222222222222,0.0,0.27301298444926725,9.473725907600098,13.213763929025836,0.0,0.0,0.0,0.0,0.0,43.18,9.473725907600098,9.198105631141345,0.0,4.0,2.0,4.0,2.0,0.0,0.0,L130,0.29
27.22222222222222,0.0,0.2730026430946823,9.473725907600098,13.213763929025836,0.0,0.0,0.0,0.0,0.0,43.18,9.473725907600098,9.124879062736206,0.0,4.0,2.0,4.0,2.0,0.0,0.0,L131,0.49
12.5,0.0,0.08886598651187594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78,0.0,8.96763416477702,4.709752220332578,2.0,0.0,2.0,0.0,0.0,0.0,L132,0.2
