No,yield20,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
L90,0,Restricted_L90,6.86,6.76,11.14,14.45,9.8025,3.213381202,42,314.3812,-0.230382,83,-0.04766,0.182723,41,7.224,7.602,8.474,13.693,0.459975142,0.947743632,1.288391,5.298692,2.99039,27.354849,233.6887,2644.61593,1.3321,-73.14838,23.96398,1262.1785,641.58617,620.59232,-0.00465394,0.01458489,-0.0245436,0.00062219,0.12446123,0.01991017,0.53011649,187.2,166.25,8.13769,14.41034,0.40725274,0.00166972,-41.22326,-12.98895,-0.809942,0.045694
L91,0,Restricted_L91,12.2,22.85,8.92,7.19,12.79,6.080472843,54,387.45473,-0.197332,103,-0.037942,0.15939,47,7.613,8.828,11.238,15.065,0.428823546,0.989425982,1.684063,6.762844,2.424419,15.133347,175.1448,3345.28831,1.2979,-61.3658,18.12267,1525.67606,751.9703,773.70576,-0.00412008,0.01128115,-0.01908866,0.00033718,0.13032185,0.01553497,0.41471563,256.58,170.66,6.45124,14.13546,0.40280297,0.00179042,-40.29584,-13.09868,-0.7628697,0.033262
L92,1,Restricted_L92,14.21,22.35,8.86,7.3,13.18,5.881891703,58,413.49208,-0.197461,110,-0.038293,0.159169,50,8.164,11.043,11.538,16.246,0.418420172,0.994977952,1.864127,8.835495,2.395694,13.974547,175.8878,3552.20919,1.3044,-64.00273,19.3903,1626.64663,806.84214,819.80448,-0.00439946,0.01086679,-0.01942433,0.00036903,0.11659061,0.01559017,0.41305935,279.64,175.87,6.48666,13.79605,0.40103713,0.00175224,-39.32118,-13.10031,-0.7608123,0.033034
L93,1,Restricted_L93,8.95,8.89,8.63,8.33,8.7,0.245153013,50,370.44457,-0.232079,98,-0.004271,0.227808,49,8.211,8.26,10.182,15.741,0.460492057,0.958531239,1.390429,5.933949,2.516741,16.117949,200.7551,2998.25999,1.3845,-78.87705,17.9101,1429.02544,753.27914,675.74629,-0.00494384,0.01184781,-0.02366211,0.00064251,0.08483125,0.01815687,0.47441581,235.56,164.61,8.10307,14.71209,0.40920855,0.00167979,-41.37147,-13.20211,-0.8031191,0.045363
L94,1,Restricted_L94,9.65,9.46,10.53,10.2,9.96,0.426790347,53,384.47119,-0.229912,102,-0.004,0.225912,52,8.092,8.167,10.858,15.7,0.45212383,0.97009392,1.401208,5.714001,2.357128,16.159163,188.7613,3136.74639,1.3735,-78.3206,18.13647,1465.3248,732.95416,732.37064,-0.00485439,0.01216343,-0.02188577,0.00058471,0.08825231,0.01756513,0.46321025,244.1,166.23,7.96149,14.59644,0.40803055,0.00160069,-40.49589,-13.19814,-0.7929173,0.042586
L95,1,Restricted_L95,8.75,9.08,7.43,7.44,8.175,0.749149518,56,398.49781,-0.230986,106,-0.004122,0.226864,55,8.218,8.267,11.069,15.783,0.449414847,0.960270139,1.397223,5.958776,2.352685,16.759861,173.0756,3272.49138,1.3646,-78.10037,17.78601,1518.92948,781.9673,736.96219,-0.00453104,0.01140428,-0.02143949,0.0006012,0.0892753,0.01692155,0.4428167,263.36,161.98,8.03868,14.61673,0.40717358,0.00157808,-41.67663,-13.20106,-0.7906244,0.040974
L96,1,Restricted_L96,6.96,11.52,10.38,10.35,9.8025,1.707547584,57,432.51414,-0.230868,114,-0.004742,0.226126,56,8.233,8.347,13.122,15.789,0.42377476,0.958884975,1.424722,6.059577,1.894145,16.368964,116.2987,3473.60375,1.3953,-77.03017,18.60416,1631.98739,832.0393,799.94809,-0.00490335,0.01249835,-0.02300315,0.00051935,0.08716121,0.01812626,0.48021196,260.61,196.4,8.14917,14.71231,0.40669905,0.00173234,-41.55819,-13.19351,-0.8155469,0.045905
L97,1,Restricted_L97,5.67,6.15,11.68,12.68,9.045,3.159434285,59,434.53002,-0.231196,115,-0.004937,0.226259,58,8.214,9.528,9.834,16.118,0.454284104,0.981129778,1.671896,6.893303,1.941351,20.822155,252.6817,3553.31378,1.3704,-80.34909,19.04903,1555.76928,800.22478,755.5445,-0.00520666,0.0126809,-0.02415204,0.00067388,0.08248422,0.01888566,0.49665534,246.73,188.93,8.08521,14.74766,0.40727853,0.00161879,-42.11295,-13.19504,-0.8030619,0.042293
L98,1,Restricted_L98,9.65,9.15,7.32,7.38,8.375,1.040348499,46,344.40722,-0.232808,91,-0.00441,0.228398,45,8.169,8.283,9.617,15.684,0.467008099,0.959970621,1.362761,5.977112,2.26266,15.205083,215.6004,2794.96289,1.3808,-78.11758,18.48834,1354.65308,696.40232,658.25077,-0.00515183,0.01285381,-0.02420105,0.00061517,0.08291156,0.01894887,0.49980894,210.52,168.82,8.0769,14.75251,0.40931785,0.00173647,-40.67721,-13.1962,-0.8133055,0.047665
L99,1,Restricted_L99,9.54,9.36,8.31,8.42,8.9075,0.54760273,59,412.52443,-0.230063,110,-0.0041,0.225962,58,8.127,8.225,11.863,15.701,0.438710218,0.965977606,1.457303,5.789601,2.290886,16.905219,169.3633,3420.14042,1.3516,-78.21273,18.33868,1573.55979,845.88921,727.67059,-0.00431515,0.01071295,-0.02178474,0.00059486,0.09084267,0.01661622,0.43083633,276.86,163.78,7.99141,14.63388,0.40587364,0.00153793,-41.60006,-13.2025,-0.7844508,0.040581
L100,1,Restricted_L100,3.58,5.41,4.71,3.6,4.325,0.775580428,69,546.60712,-0.227255,143,-0.007591,0.219665,68,8.28,8.667,11.184,16.496,0.453847635,0.996135266,1.550513,6.265152,3.242719,38.391684,193.3215,4210.2255,1.4548,-76.89192,22.62095,1734.05753,914.00825,820.04928,-0.00332091,0.01622711,-0.02510867,0.0005776,0.12637839,0.02074404,0.55585421,214.76,270.82,8.16572,15.69359,0.41590844,0.00209969,-42.89178,-13.22212,-0.8556314,0.056808
L101,1,Restricted_L101,4.66,5.87,11.94,11.07,8.385,3.164178408,117,779.06325,-0.218948,209,-0.005375,0.213574,88,10.903,10.04,13.163,21.612,0.482249247,0.991103366,1.882127,7.636606,0.565828,22.987177,405.4279,6518.37373,1.3393,-81.19567,19.37489,2515.11078,1390.87735,1124.23343,-0.00335975,0.00920386,-0.01890318,0.00064276,0.08444467,0.01436305,0.36842516,495.81,208.49,8.1026,14.75486,0.40046747,0.00128581,-42.54351,-12.97266,-0.7714811,0.036067
L102,1,Restricted_L102,7.7,7.41,7.71,7.91,7.6825,0.178237903,87,638.79708,-0.204702,169,-0.039356,0.165346,81,10.555,11.098,12.88,20.635,0.462533342,0.977498816,2.111947,8.793966,2.500323,15.723852,600.593,5283.93086,1.3547,-77.53256,19.5896,2361.08098,1091.01314,1270.06784,-0.0053851,0.01224995,-0.02053396,0.00038849,0.1275025,0.01676224,0.4545953,365.6,295.57,8.12765,14.64703,0.40417434,0.00150406,-41.88227,-13.13409,-0.8109239,0.042695
L103,1,Restricted_L103,7.34,7.35,7.43,7.42,7.385,0.040311289,101,762.9362,-0.204183,201,-0.039592,0.164591,95,10.734,11.289,12.938,21.175,0.466389146,0.986351779,2.156807,8.939597,1.708619,20.344364,770.0371,6200.43577,1.3788,-79.90683,20.73395,2500.54078,1212.58718,1287.9536,-0.00511429,0.01356778,-0.02270317,0.00048803,0.11291359,0.01852411,0.49723757,364.16,336.06,8.14757,14.75562,0.40223991,0.00162065,-42.48263,-13.1154,-0.8289881,0.042258
L104,1,Restricted_L104,8.51,8.34,7.94,8.34,8.2825,0.209568008,107,790.98944,-0.204787,209,-0.03601,0.168778,99,10.296,11.526,17.43,19.29,0.399825892,0.936771562,2.051342,9.26796,2.788308,32.062328,481.2517,6503.80763,1.3629,-73.78261,20.73426,2724.4954,1298.22459,1426.27081,-0.00400297,0.01237215,-0.01890798,0.00033043,0.14402693,0.01591797,0.42976714,447.54,315.4,8.0511,14.70674,0.40347218,0.00150118,-41.91426,-13.10149,-0.8110331,0.041859
L105,1,Restricted_L105,5.91,6.8,7.27,8.19,7.0425,0.823084898,65,484.58884,-0.229145,128,-0.008024,0.22112,64,9.26,8.616,9.889,18.511,0.500081046,0.999514039,1.461934,6.091169,2.622544,27.379279,252.7041,4014.57173,1.3526,-81.34503,21.89434,1812.00529,950.72661,861.27868,-0.00474058,0.01338377,-0.02474723,0.00057932,0.09387735,0.01937122,0.51116663,271.09,236.32,8.222,14.04378,0.40750194,0.00171161,-41.51223,-13.12236,-0.8038757,0.041654
L106,0,Restricted_L106,12.55,15.11,7.18,7.38,10.555,3.398503347,61,482.55305,-0.156008,127,0.00575,0.161757,59,9.235,8.591,10.581,18.464,0.490594112,0.999675149,1.435105,5.933361,7.89425,49.369632,251.6505,3965.5927,1.3636,-156.54134,-21.19984,1809.04926,0,1809.04926,-0.09891707,0,-0.09891707,0.00206719,0,0.03714409,2.69167048,0,506.59,7.04825,13.35472,0.38202772,0.00202242,-42.17914,-13.34749,-0.8472813,0.047228
L107,0,Restricted_L107,7.88,4.18,6.08,6.28,6.105,1.312202347,75,560.68502,-0.229379,148,-0.013757,0.215622,74,8.928,12.997,13.754,17.388,0.393937334,0.973790323,2.449316,10.647377,1.438177,23.790222,218.3899,4653.55928,1.3501,-80.53027,16.95877,2129.54165,1094.68908,1034.85257,-0.00479285,0.01213688,-0.02270148,0.00047948,0.0762451,0.01774639,0.46996114,345.02,251.31,8.22286,13.70245,0.4031888,0.00169648,-42.55801,-13.09243,-0.8178151,0.0422
L108,0,Restricted_L108,3.75,7.76,6.32,4.94,5.6925,1.500656107,94,678.86105,-0.226259,180,-0.01628,0.209979,87,9.378,10.239,14.102,18.682,0.434232852,0.996054596,1.793897,7.902293,2.127845,27.081373,380.8318,5665.14865,1.3428,-78.39246,19.9911,2328.10463,1193.40609,1134.69854,-0.00458753,0.01099479,-0.02097606,0.00042325,0.09391675,0.01638751,0.43156102,400.19,251.74,8.08428,13.7051,0.40380599,0.00159472,-39.10222,-13.10188,-0.7967035,0.035013
L109,1,Restricted_L109,6.6,7.48,7.04,7.11,7.0575,0.312599984,73,470.64678,-0.231043,127,-0.001461,0.229582,61,7.539,10.554,11.27,14.363,0.396910493,0.952579918,2.206176,7.832514,1.645261,10.966998,133.1894,4132.81318,1.2761,-80.62846,19.02382,1791.87104,1068.98062,722.89043,-0.00268404,0.00985031,-0.02121932,0.00059493,0.07012894,0.01512041,0.39284751,346.48,155.3,8.16299,14.43479,0.40495673,0.00134515,-42.76417,-13.14333,-0.756889,0.036115
L110,1,Restricted_L110,6,6.55,6.76,6.89,6.55,0.339926463,51,360.44972,-0.226856,96,0.003299,0.230155,48,6.96,7.812,9.549,13.907,0.444767814,0.999066092,1.496017,5.149543,1.731123,24.655995,209.4979,3045.81202,1.3261,-77.26756,21.66806,1346.99405,662.21348,684.78057,-0.00359721,0.01404794,-0.02066087,0.00052393,0.12804859,0.01759157,0.47374474,214.57,162.62,8.04868,14.62629,0.41096108,0.00155662,-41.37665,-13.16261,-0.7729135,0.038412
L111,1,Restricted_L111,5.24,6.42,7.7,7.96,6.83,1.087428159,57,388.50295,-0.229849,104,-0.000466,0.229383,53,9.852,6.173,11.241,19.683,0.530581988,0.998934227,1.046064,3.77353,1.875988,18.345736,275.8364,3342.29569,1.3026,-76.9289,16.79133,1580.01648,913.80222,666.21426,-0.00232571,0.01068901,-0.02017713,0.00054377,0.07394529,0.01517874,0.39972633,295.62,146.83,8.10083,14.39663,0.40669476,0.00152212,-40.71698,-13.12483,-0.7756355,0.038152
L112,1,Restricted_L112,9.13,4.61,7.25,6.54,6.8825,1.617704778,61,436.5459,-0.230892,116,-0.001284,0.229607,57,9.857,7.26,13.93,19.648,0.481120525,0.996652125,1.117838,4.858801,1.175986,16.764758,383.1091,3680.3623,1.3292,-74.99579,17.51134,1737.39443,959.16499,778.22944,-0.00257516,0.01225198,-0.02084954,0.00045185,0.0789666,0.0164764,0.438187,295.68,190.84,8.14599,14.12039,0.40581825,0.00165314,-41.07861,-13.1182,-0.7974637,0.042041
L113,1,Restricted_L113,5.35,6.07,10.24,10.23,7.9725,2.276778151,63,416.55619,-0.229455,112,-0.000373,0.229083,59,9.84,7.528,12.654,19.664,0.493499975,0.999186992,1.13739,5.128393,1.606058,18.770101,288.5207,3626.88692,1.287,-76.07485,16.41829,1679.82379,980.30052,699.52327,-0.00190055,0.01009599,-0.01871231,0.00051746,0.0774722,0.01410041,0.37236208,326.57,143.83,8.0398,14.02091,0.40472102,0.00146687,-41.58387,-13.12843,-0.767262,0.035095
L114,0,Restricted_L114,10.06,10.04,9.74,13.16,10.75,1.397175723,49,292.41707,-0.22836,80,0.021384,0.249744,48,7.025,7.228,9.294,14.011,0.458880555,0.997224199,1.1611,4.536008,2.146629,17.340445,9.8525,2673.76931,1.2255,-78.74375,18.57827,1257.18506,687.11206,570.073,-0.0036199,0.01096957,-0.02120466,0.00064755,0.08026689,0.01621865,0.42478857,234.32,117.73,8.06856,14.27872,0.41075689,0.0009641,-40.17005,-13.17763,-0.7302762,0.033971
L115,0,Restricted_L115,14.53,14.3,10.69,13.68,13.3,1.538619511,52,306.44369,-0.230292,84,0.017595,0.247887,47,7.087,7.484,10.37,14.121,0.441626271,0.996260759,1.250524,5.34008,1.73098,17.277491,41.1534,2817.04107,1.219,-76.73289,19.42878,1294.77578,742.7544,552.02138,-0.00274333,0.00962066,-0.01937929,0.00064171,0.07955151,0.01442757,0.37500554,263.51,99.06,8.10933,14.18275,0.40899307,0.00092837,-41.3764,-13.2594,-0.721519,0.031089
L116,1,Restricted_L116,13.05,12.48,9.31,10.37,11.3025,1.523144363,49,352.38292,-0.234886,94,-0.000317,0.234569,42,7.882,8.732,10.136,15.321,0.44812659,0.971897995,1.501861,6.527853,3.463024,26.44061,370.1914,2863.55014,1.379,-78.62092,22.26141,1445.03728,835.07891,609.95836,-0.00502453,0.01371515,-0.03068057,0.00079916,0.07929852,0.02204925,0.5680744,216.33,188.32,8.27271,14.97014,0.42424326,0.00117853,-40.89454,-12.87855,-0.7966556,0.059869
L117,0,Restricted_L117,4.09,4.2,3.4,3.42,3.7775,0.369619737,103,698.93531,-0.18736,187,-0.0614,0.12596,97,8.862,11.473,12.234,16.155,0.405273193,0.911475965,2.160194,8.550007,1.605308,26.869849,427.3682,5866.95531,1.335,-82.32737,19.37947,2230.12568,1136.70252,1093.42316,-0.00310058,0.01209601,-0.01889867,0.00053879,0.10243457,0.01573864,0.41990785,380.44,244.05,8.08213,13.6606,0.40164778,0.00129433,-43.74374,-13.06681,-0.7816849,0.038976
L118,1,Restricted_L118,3.54,3.68,3.43,3.48,3.5325,0.093641604,89,618.80737,-0.186782,165,-0.061487,0.125296,70,8.168,10.013,12.524,15.886,0.413450277,0.972453477,1.941723,7.624746,1.471866,27.313748,439.5841,5193.99777,1.3351,-83.47083,19.26676,2033.21941,1032.83325,1000.38617,-0.00430131,0.01285078,-0.02200972,0.00058712,0.08585931,0.01781006,0.47231258,319.33,250.03,8.03499,13.6561,0.4025311,0.00132954,-43.55485,-13.05313,-0.7939666,0.042113
L119,0,Restricted_L119,8.15,8.74,9.18,9.5,8.8925,0.506526159,25,198.22105,-0.225431,52,-0.064259,0.161172,24,6.34,4.199,7.941,12.625,0.509792045,0.995662461,0.356447,1.808723,3.188444,23.253085,146.5817,1607.12399,1.3821,-73.68832,24.90144,829.32628,418.6441,410.68218,-0.0038667,0.01880282,-0.02697572,0.0007833,0.10889193,0.02305532,0.6217811,96.16,136.07,8.07148,14.83438,0.41225273,0.00202211,-39.47823,-13.07357,-0.8479424,0.053644
L120,0,Restricted_L120,8.28,9.64,10.55,14.09,10.64,2.149430157,37,280.32178,-0.230162,74,-0.038731,0.191431,36,7.261,7.455,8.801,14.231,0.466789123,0.979961438,1.142685,5.087727,4.127332,29.801925,391.1231,2285.40947,1.3745,-77.43843,29.13278,1141.41817,553.06106,588.35711,-0.00532516,0.01725387,-0.02654966,0.00075553,0.15237129,0.02227833,0.5998883,147.27,172.36,7.977,15.21391,0.41142501,0.00185271,-40.39924,-13.20731,-0.8292792,0.054903
L121,0,Restricted_L121,9.09,9.9,10.88,14.59,11.115,2.104025903,46,318.41296,-0.230239,85,-0.044642,0.185597,43,7.625,6.964,10.16,14.786,0.463365716,0.96957377,1.191228,4.65628,3.015843,15.878821,184.7094,2713.90444,1.3147,-74.24069,22.35876,1306.6301,661.02025,645.60984,-0.00418555,0.01252566,-0.02129565,0.00065362,0.11010032,0.01745083,0.45875509,220.65,145.25,8.0842,14.76185,0.40537915,0.00148851,-40.3103,-13.04677,-0.7907496,0.045746
L122,0,Restricted_L122,5.25,6.16,9.03,9.35,7.4475,1.775561531,45,350.41341,-0.226888,92,-0.066812,0.160076,42,8.047,7.653,8.469,15.831,0.495446437,0.983658506,1.269961,5.255084,3.296756,30.357332,322.4711,2881.28599,1.3628,-72.7958,26.04068,1356.55833,655.75104,700.80729,-0.00463057,0.01589432,-0.02383587,0.00058183,0.13703273,0.02016567,0.54414548,189.1,190.77,8.19351,14.40428,0.40550217,0.00171985,-41.24896,-13.07345,-0.8329561,0.0474
L123,0,Restricted_L123,5.82,6.55,10.41,12.96,8.935,2.905499097,59,430.54135,-0.228112,114,-0.044989,0.183123,53,8.037,9.299,12.64,15.949,0.420951225,0.992223466,1.666644,6.836772,3.331249,32.014544,363.3846,3609.6767,1.3366,-75.81627,23.02518,1637.22959,855.12689,782.1027,-0.00469645,0.01307227,-0.02412421,0.00054837,0.09224416,0.01886982,0.49937698,254.67,203.81,8.071,13.90178,0.40386814,0.00154806,-37.35995,-13.09447,-0.8023071,0.042064
L124,0,Restricted_L124,15.98,10.12,15.73,13.53,13.84,2.349797864,33,250.29576,-0.231703,66,-0.021071,0.210633,29,7.266,6.631,8.117,14.288,0.492078799,0.983209469,0.934176,4.229371,3.108123,16.792376,210.6102,2062.5736,1.3598,-75.63916,22.01565,1033.61096,534.536,499.07496,-0.00457841,0.01511497,-0.02567107,0.00066119,0.09998588,0.02065504,0.54999489,145.38,144.06,7.93063,14.64442,0.40917546,0.00179543,-39.85278,-12.94031,-0.8188086,0.04574
L125,0,Restricted_L125,95.28,31.57,10.98,81.36,54.7975,34.65504752,38,350.25777,-0.120232,85,-0.048548,0.071683,33,7.942,7.487,7.856,15.568,0.503639481,0.980105767,1.378214,5.410556,12.859383,25.274251,298.895,2556.64647,1.5352,-78.51776,174.01506,1238.35034,673.61886,564.73149,0.00141478,0.03117642,-0.03408527,0.00184325,0.24997479,0.03240865,0.88445048,118.3,228.48,4.04139,17.82149,0.38227648,0.00621393,-40.49141,-11.58556,-0.7737825,0.047662
L126,0,Restricted_L126,59.47,33.45,37.39,23.63,38.485,13.11098299,30,254.17188,-0.143844,61,-0.116194,0.02765,30,6.35,6.745,7.573,12.697,0.469998149,0.99976378,1.107517,4.181595,11.031526,20.962893,357.5482,1985.19673,1.4347,-63.5301,44.50879,980.666,637.88001,342.78599,0.00605446,0.03297568,-0.04404243,0.00114848,0.20448163,0.03533936,1.00257616,63.22,211.4,5.38424,15.48061,0.39047052,0.00737356,-39.93846,-10.18986,-0.6955258,0.046819
L127,0,Restricted_L127,94.01,30.27,11.01,73.67,52.24,33.11559904,44,378.311,-0.118154,93,-0.046574,0.071579,40,6.68,6.642,10.739,12.341,0.415214319,0.923727545,1.042091,4.370231,12.187089,39.025669,329.9573,2874.33641,1.4749,-74.60702,133.87363,1346.68128,809.18899,537.49229,0.00423643,0.02913145,-0.03324276,0.00125157,0.23071082,0.03007093,0.83735878,108.4,268.71,3.97864,14.74602,0.38604554,0.00524412,-40.22662,-12.47638,-0.7569029,0.04425
L128,1,Restricted_L128,50.02,38.64,13.52,18.38,30.14,14.84912792,27,193.22281,-0.105107,52,-0.053531,0.051576,26,5.846,6.569,6.706,11.29,0.459596988,0.965617516,1.139546,4.259397,18.018221,25.948562,226.209,1715.24312,1.2623,-154.46503,-16.89925,886.92979,0,886.92979,-0.1244785,0,-0.1244785,0.00402045,0,0.0545904,3.38723224,0,248.37,3.33901,13.78813,0.36240546,0.00504066,-40.11807,-13.48668,-0.8136067,0.05691
L129,0,Restricted_L129,13.19,12.33,15.48,4.3,11.325,4.216126777,36,224.29986,-0.231428,61,-0.035712,0.195716,31,7.155,5.446,7.461,14.22,0.524200981,0.993710692,0.749764,3.085177,2.064357,20.988147,75.6928,2027.45954,1.2397,-70.25555,21.63861,1021.25052,611.05896,410.19156,-0.00232804,0.01411598,-0.02682454,0.00068722,0.10222786,0.01975438,0.52301503,158.33,127.65,8.3277,14.46494,0.41195483,0.00122374,-39.80631,-12.9639,-0.7632583,0.054164
L130,0,Restricted_L130,10.1,12.32,15.41,6.82,11.1625,3.137167313,42,252.3531,-0.230576,69,-0.035398,0.195178,41,8.202,6.106,8.142,16.385,0.534880684,0.998841746,0.850098,3.748791,2.090411,22.321094,88.9454,2325.00936,1.2163,-70.34737,22.46403,1143.48616,723.84356,419.6426,-0.00167253,0.01286016,-0.02674003,0.00067708,0.08873005,0.0184453,0.48854955,192.44,127.76,8.30212,14.39566,0.41036657,0.0011675,-39.84914,-13.19669,-0.7557309,0.050148
L131,0,Restricted_L131,9.9,12.13,15.55,5.5,10.77,3.647869241,42,252.3531,-0.229783,69,-0.033645,0.196138,41,7.741,7.04,8.243,15.271,0.499803626,0.98637127,1.143796,4.501358,2.046307,20.150947,138.5454,2337.60585,1.2097,-71.18614,22.73289,1167.9391,698.44938,469.48972,-0.00157361,0.01293789,-0.02316205,0.00074415,0.10616677,0.01742291,0.46389465,206.43,120.63,8.24653,14.64616,0.41031887,0.00126055,-39.84878,-12.91293,-0.7531564,0.050976
L132,0,Restricted_L132,22.39,9.15,8.47,8.27,12.07,5.967176887,44,268.39723,-0.230442,73,-0.044695,0.185748,38,6.878,6.752,9.234,13.579,0.459293083,0.987132887,0.972006,4.348472,5.485788,23.925558,78.6164,2525.20618,1.191,-78.46301,28.74776,1194.72907,843.02549,351.70358,0.0006631,0.0143794,-0.03221457,0.00091119,0.06154244,0.01936074,0.53415158,182.83,151.73,7.9032,13.66654,0.40222072,0.00091746,-35.62186,-13.23858,-0.7613333,0.041777
L133,0,Restricted_L133,5.45,6.08,5.94,6.77,6.06,0.471963982,42,332.39812,-0.220145,87,-0.056098,0.164047,37,7.619,5.666,10.134,15.238,0.490946582,1,0.810238,3.272948,5.46618,28.145336,229.3319,2731.10556,1.3638,-75.4314,19.24701,1287.69428,678.3585,609.33578,-0.00169173,0.01609925,-0.02149799,0.00063002,0.09654055,0.01878765,0.5075992,185.2,175.39,8.01442,13.83985,0.4031623,0.00161508,-37.08183,-13.05658,-0.8472053,0.046939
L134,0,Restricted_L134,4.23,4.72,5.08,5.02,4.7625,0.33633131,82,556.73781,-0.209043,149,-0.045653,0.163391,55,8.259,11.671,13.713,14.958,0.370779832,0.905557574,1.979513,9.287691,1.07472,21.156347,238.997,4758.36219,1.3111,-83.51814,17.50005,2083.14302,1000.87079,1082.27223,-0.00525196,0.00976791,-0.01914214,0.00051869,0.09051099,0.01525371,0.39832516,383.08,200.26,7.98675,14.14698,0.40289325,0.0012745,-41.79419,-13.10595,-0.7715799,0.041905
L135,0,Restricted_L135,4.92,20.12,33.69,50.43,27.29,16.79468219,76,630.62101,-0.138388,159,-0.120901,0.017487,68,9.069,11.502,11.87,18.274,0.438793642,1.00749807,1.916355,9.072049,23.71477,111.310354,1625.0255,4961.76567,1.4242,-58.58302,35.12317,2142.84618,1533.48224,609.36394,0.00577129,0.02565935,-0.0442776,0.00115043,0.14235825,0.02875424,0.84229707,167.79,432.27,5.65738,14.59431,0.39373124,0.00359852,-40.6626,-12.60657,-0.7829358,0.03695
L136,0,Restricted_L136,4.33,4.66,4.86,4.75,4.65,0.197863589,70,544.64252,-0.208762,143,-0.04792,0.160842,58,7.985,11.654,12.016,13.05,0.355392157,0.81715717,2.104771,9.197356,1.255786,17.404116,308.1282,4423.51456,1.3797,-88.92554,17.87259,1987.26849,936.6014,1050.66709,-0.00740428,0.01226908,-0.0249418,0.00059959,0.07066756,0.01930173,0.51617647,301.44,255.05,8.06818,14.70857,0.40547851,0.00174566,-41.56474,-13.10007,-0.8275458,0.046054
L137,1,Restricted_L137,7.08,4.61,10.71,6.49,7.2225,2.210467993,68,515.60289,-0.228943,136,-0.005017,0.223926,56,9.084,9.691,11.759,17.826,0.453864956,0.981175694,1.583414,7.24633,1.702761,16.756749,207.7462,4093.86243,1.4113,-75.88951,17.57973,1793.45324,922.47695,870.97629,-0.00495597,0.01166116,-0.02255566,0.00048133,0.08270737,0.01748897,0.46128704,298.04,204.18,8.12867,14.72509,0.40921838,0.00163751,-42.40107,-13.19704,-0.8106638,0.045089
L138,0,Restricted_L138,13.11,12.11,13.05,14.09,13.09,0.70042844,54,374.47634,-0.230175,100,-0.001405,0.22877,50,7.254,7.779,12.972,13.136,0.387641278,0.905431486,1.305211,5.256547,1.710025,5.56119,72.6084,3181.30342,1.3191,-84.77647,18.45659,1508.04402,883.7575,624.28652,-0.00482247,0.0107767,-0.02690509,0.00073715,0.04994511,0.01862478,0.47493084,272.7,149.6,7.92737,14.61224,0.40726789,0.00173143,-40.4094,-13.13949,-0.7845686,0.039849
L139,0,Restricted_L139,6.55,5.61,6.93,5.73,6.205,0.553240454,55,390.47574,-0.221716,104,-0.05154,0.170176,44,7.303,8.599,12.413,12.842,0.379334791,0.879227715,1.205471,5.524246,0.2434,23.514763,254.9828,3258.6566,1.3428,-86.96889,22.98255,1541.742,727.71777,814.02423,-0.00664208,0.01279828,-0.02402129,0.00070848,0.09434849,0.01918334,0.50950363,235.27,196.46,8.05495,14.3425,0.40820862,0.00129471,-40.06398,-12.99662,-0.8153962,0.056686
L140,0,Restricted_L140,8.47,21.93,9.27,7.93,11.9,5.810413066,45,361.45736,-0.211091,95,-0.049587,0.161504,40,7.974,6.901,11.747,15.848,0.459415584,0.993729621,1.083984,4.480596,5.29177,29.049407,276.0707,2912.5426,1.3907,-54.13236,22.91505,1376.31948,700.13005,676.18942,-0.00520629,0.01657497,-0.02775872,0.00058923,0.11974879,0.02253479,0.60054365,165.99,219.42,8.31377,14.69414,0.40678356,0.0017111,-39.76428,-12.99352,-0.8084636,0.043092
L141,0,Restricted_L141,19.46,10.98,8.96,10.45,12.4625,4.107325011,37,267.32628,-0.22894,71,-0.051217,0.177723,35,7.272,6.623,10.011,14.537,0.466362966,0.999518702,0.857389,4.221459,3.500795,29.121772,203.3846,2266.66963,1.3216,-95.68519,31.04491,1120.54237,546.42472,574.11766,-0.00671495,0.01705024,-0.02933381,0.0011707,0.10164653,0.0239552,0.63521745,151.36,162.43,8.00899,14.11198,0.4090086,0.00153457,-40.24407,-12.92576,-0.8178842,0.049667
L142,0,Restricted_L142,6.98,7.06,7.37,8.02,7.3575,0.409290545,71,512.64208,-0.227751,136,-0.008164,0.219587,68,9.044,8.986,11.799,17.92,0.462989278,0.990712074,1.585507,6.617526,2.230298,27.404373,300.8529,4289.15,1.3393,-80.71784,21.43986,1893.28796,1036.9078,856.38017,-0.004337,0.01228581,-0.02446395,0.0005581,0.09248489,0.0185295,0.48420694,306.39,223.78,8.24693,14.17625,0.40551589,0.00160695,-41.85393,-13.12087,-0.7932729,0.039085
