No,yield20,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
L26,0,Restricted_L25,6.12,7.79,9.83,6.44,7.545,1.460556401,82,486.73564,-0.189999,133,-0.02704,0.162959,78,8.42,9.159,14.412,15.153,0.391307716,0.899821853,1.556014,6.816412,6.182385,17.782764,246.4305,4574.51792,1.1923,-80.48987,18.39672,1971.92057,1268.9991,702.92147,0.00029839,0.01150863,-0.01993969,0.00070599,0.06312718,0.01443032,0.39494626,381.57,170.62,7.72975,13.65253,0.40231105,0.00101587,-36.71207,-13.00097,-0.7165325,0.028384
L27,0,Restricted_L26,6.01,7.64,10.16,6.4,7.5525,1.621286141,88,514.78887,-0.189986,141,-0.02843,0.161556,83,8.389,11.88,14.236,16.645,0.389256566,0.992072953,2.09944,9.499164,5.871036,20.286149,224.5741,4867.31056,1.1852,-81.63801,22.54301,2047.32153,1324.37705,722.94448,0.00037803,0.01103487,-0.01914445,0.00076525,0.06322184,0.01379104,0.37819751,410.23,163.08,7.7274,13.8348,0.40131031,0.0009746,-36.60181,-12.74688,-0.7200395,0.028824
L28,0,Restricted_L27,8.91,10.17,11.8,18.13,12.2525,3.544674703,29,237.25717,-0.235266,62,-0.056461,0.178805,24,6.551,6.904,8.091,13.06,0.465514169,0.996794383,1.081206,4.477804,1.982601,24.237139,336.3718,1869.55573,1.4221,-68.1109,29.62501,946.30771,491.3341,454.97362,-0.00492645,0.01749949,-0.02914461,0.0007048,0.15109315,0.02357472,0.62853744,117.82,147.18,8.24877,14.85149,0.41262121,0.00194522,-40.52004,-12.71012,-0.8543619,0.053016
L29,0,Restricted_L28,5.91,9.31,10.83,11.1,9.2875,2.065942581,54,370.48767,-0.228865,99,-0.046182,0.182683,47,8.325,8.494,10.671,16.028,0.455431478,0.962642643,1.50722,5.936823,2.76311,11.600397,259.9334,3242.96352,1.2802,-71.35006,22.51174,1520.39821,759.04282,761.3554,-0.00461172,0.01217722,-0.02134966,0.00045872,0.11694512,0.01709757,0.45634618,252.12,173.63,8.08263,14.34353,0.4044272,0.0014195,-39.84808,-13.03128,-0.7881506,0.040731
,,Restricted_L29,5.82,7.5,10.69,11.35,8.84,2.271486298,55,404.50399,-0.228783,107,-0.047412,0.181372,51,9.881,8.185,10.732,19.561,0.508368418,0.989828965,1.450547,5.638707,2.783194,13.209379,310.113,3438.7275,1.3182,-72.19388,22.76029,1629.73265,820.40121,809.33144,-0.00414786,0.01270656,-0.02123281,0.00046368,0.09861956,0.01723041,0.46098068,269.5,186.87,8.06285,14.04656,0.40433468,0.00171038,-39.75274,-13.02158,-0.8120808,0.04184
L30,0,Restricted_L30,4.33,5.45,10.58,11.62,7.995,3.151670192,62,466.57356,-0.230003,123,-0.050182,0.179821,59,9.202,9.278,10.764,18.171,0.475518803,0.987339709,1.708482,6.983189,3.006643,18.600943,255.1335,3914.54194,1.3356,-72.70941,23.7378,1802.53973,878.04887,924.49086,-0.00517711,0.01319722,-0.02262839,0.00047407,0.12094224,0.01830527,0.4907383,281.8,222.96,8.18494,14.27757,0.40391799,0.00170961,-41.23063,-13.01516,-0.8135154,0.041699
L31,0,Restricted_L31,10.03,9.97,10.5,13.62,11.03,1.509354167,39,278.34899,-0.227308,74,-0.043197,0.184111,34,7.707,7.068,8.604,15.342,0.494679822,0.995328922,1.064582,4.718646,3.161986,20.582306,161.7793,2359.54429,1.3219,-76.73369,22.21873,1159.756,659.45353,500.30247,-0.00404848,0.01343659,-0.02709572,0.00074689,0.06867191,0.02009771,0.52596741,180.09,144.67,8.03535,14.65854,0.40672652,0.00162801,-39.97434,-13.13305,-0.8012657,0.047864
L32,0,Restricted_L32,8.59,8.09,11.46,8.86,9.25,1.305507564,29,224.2584,-0.229173,59,-0.046395,0.182778,27,6.787,4.92,9.042,13.504,0.491662419,0.994843082,0.628402,2.474898,3.005312,20.649431,217.8542,1855.24167,1.3545,-74.29819,24.06387,946.82098,463.41077,483.41022,-0.00494067,0.01766336,-0.02660954,0.00071386,0.11111256,0.02242864,0.60493445,115.78,149.35,8.06171,14.83413,0.41114632,0.00200181,-39.40781,-12.95409,-0.8327271,0.049684
L33,0,Restricted_L33,8.03,7.59,9.05,9.22,8.4725,0.683168171,36,286.32796,-0.226071,75,-0.064882,0.16119,33,7.419,7.03,8.631,14.724,0.484581208,0.992317024,1.033086,4.740514,3.457233,20.955334,289.4345,2299.88253,1.3951,-73.68554,24.96081,1129.77357,547.41059,582.36298,-0.00484275,0.01646418,-0.02487088,0.00064407,0.11848683,0.02095623,0.56593073,145.89,170.48,8.12369,14.81634,0.40696073,0.00178302,-40.2603,-13.08525,-0.8492983,0.050871
L34,1,Restricted_L34,9.28,9.57,10.86,13.78,10.8725,1.780889876,59,386.53017,-0.230785,104,-0.045496,0.18529,55,7.877,9.59,10.408,15.073,0.429785293,0.956772883,1.640708,7.119036,3.050701,15.051886,212.4294,3373.82345,1.2838,-71.99636,22.31591,1564.55841,693.63012,870.92828,-0.00409475,0.01232922,-0.01717523,0.00049338,0.13711091,0.01499933,0.40890008,292.45,145.67,8.08068,14.7564,0.40467945,0.00132123,-40.18173,-13.0079,-0.7650497,0.039529
L35,0,Restricted_L35,4.18,3.93,8.48,6.07,5.665,1.823711874,62,474.55416,-0.227442,125,-0.053581,0.17386,55,10.916,6.853,13.123,21.535,0.518778155,0.986396116,0.953268,4.510684,1.518251,38.710991,333.5488,3896.67519,1.3647,-79.2569,32.95452,1868.90998,948.92875,919.98122,-0.00517317,0.01544901,-0.02644424,0.00070028,0.12944388,0.02131527,0.56766944,268.22,255.13,8.2686,14.77467,0.40746013,0.0016804,-39.96671,-12.97554,-0.8371775,0.050455
L36,0,Restricted_L36,19.1,10.77,8.95,10.47,12.3225,3.973357365,37,267.32628,-0.229633,71,-0.051325,0.178308,35,7.32,5.391,10.35,14.597,0.481145758,0.997062842,0.531913,2.993006,3.609761,29.238399,199.6666,2272.17207,1.3184,-95.14322,31.16744,1129.44176,559.83243,569.60933,-0.00701821,0.01674213,-0.03037072,0.00114484,0.10538985,0.02428615,0.64260796,148.89,167.38,8.07311,14.22411,0.40816152,0.00150836,-39.69794,-12.92765,-0.8150499,0.050193
