,,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
22.00 ,,L22,6.25,5.77,8.29,5.47,6.445,1.100942778,64,402.57593,-0.194826,109,-0.017526,0.1773,58,7.272,10.679,13.038,14.285,0.375901268,0.982191969,2.058048,8.300741,2.472426,20.015991,223.6595,3670.47129,1.2291,-50.16065,19.97069,1697.55519,1000.69852,696.85666,-0.0024503,0.01124783,-0.02212106,0.00041987,0.11095638,0.01625525,0.42752777,300.34,175.02,8.16082,13.58523,0.40082583,0.00120453,-36.00789,-13.02475,-0.7473344,0.036854
23.00 ,,L23,6.37,5.91,7.72,5.41,6.3525,0.859429316,76,458.6824,-0.194116,125,-0.015622,0.178493,72,7.936,11.564,14.417,15.683,0.376416091,0.988092238,2.215628,8.944138,2.626883,22.237037,240.8099,4276.79073,1.2018,-49.93165,20.1781,1942.12854,1091.91573,850.21281,-0.00230272,0.01090722,-0.01926806,0.00037852,0.12747997,0.0149828,0.39639853,363.38,180.47,8.12998,13.59494,0.40140605,0.00108411,-37.00137,-12.95625,-0.7355311,0.032192
24.00 ,,L24,5.86,6.33,9.09,5.86,6.785,1.344553829,70,430.62917,-0.193625,117,-0.017803,0.175822,54,8.117,10.395,12.815,16.212,0.411242453,0.99864482,1.658949,7.935839,5.496654,18.557317,208.9879,3958.1632,1.2191,-63.61397,19.44936,1739.84205,1104.42329,635.41876,-8.75E-05,0.0120814,-0.02123829,0.00064035,0.07860248,0.0154494,0.41975318,312,175.2,8.03834,13.55101,0.40254161,0.00109276,-36.92903,-12.94592,-0.730085,0.033189
25.00 ,,L25,14.73,12.36,11.46,8.03,11.645,2.404729715,82,486.73564,-0.188977,133,-0.020147,0.16883,79,9.364,8.564,14.012,17.747,0.440121023,0.947618539,1.303963,6.410988,1.003811,6.112086,71.1182,4610.57057,1.183,-52.8598,14.30147,2035.33252,1171.5263,863.80622,-0.00105937,0.0077578,-0.01301756,0.00025255,0.09135914,0.01019749,0.2718436,476.34,93.61,7.9712,13.86243,0.39603353,0.00088192,-36.69044,-13.06104,-0.7242169,0.030585
26.00 ,,L26,7.47,7.62,8.82,5.63,7.385,1.140361785,88,514.78887,-0.195194,141,-0.018448,0.176746,83,8.324,11.87,13.951,16.321,0.387285843,0.980358001,2.179155,9.376188,5.296797,21.755668,193.3285,4853.56338,1.1885,-62.00694,23.4463,1995.47803,1288.26824,707.20979,0.00049091,0.01116532,-0.01895382,0.00060064,0.08583529,0.01378884,0.37893526,389.19,169.6,8.0437,14.03774,0.40090372,0.00096151,-37.38915,-12.96481,-0.727723,0.030533
27.00 ,,L27,11.75,12.01,11.86,18.27,13.4725,2.771374884,29,237.25717,-0.236503,62,-0.05774,0.178763,24,6.552,6.935,8.061,13.064,0.46557377,0.996947497,1.105698,4.544362,2.394928,24.372486,342.9169,1871.76775,1.4204,-65.04778,30.63627,946.68944,491.20678,455.48267,-0.00486179,0.01753449,-0.02901463,0.00069041,0.15912413,0.02351877,0.62743875,118.62,146.48,8.42182,14.85834,0.41235649,0.00188891,-40.26704,-12.66065,-0.8537838,0.052662
28.00 ,,L28,5.67,5.49,10.81,12.03,8.5,2.952371928,54,370.48767,-0.229232,99,-0.046297,0.182936,47,8.404,7.685,11.341,16.449,0.463678647,0.978641123,1.35831,5.351543,0.791808,14.458508,203.4723,3242.41923,1.2804,-55.53025,20.94761,1517.13355,786.44449,730.68906,-0.00319913,0.01166392,-0.01919632,0.00032878,0.12402203,0.01557426,0.41610862,273.84,151.01,8.24676,13.98875,0.40483659,0.00133959,-40.18371,-13.04444,-0.7888612,0.041555
29.00 ,,L29,4.57,4.77,10.68,12.04,8.015,3.380122039,55,404.50399,-0.229032,107,-0.047322,0.181711,51,9.78,8.739,11.272,19.17,0.489267757,0.98006135,1.473173,6.332009,0.851354,17.628201,284.048,3438.74329,1.3182,-55.16815,21.25511,1629.03943,840.62815,788.41128,-0.00312945,0.01237732,-0.01966324,0.00030682,0.12404434,0.01615864,0.43275641,273.05,183.13,8.25809,13.99716,0.40441381,0.0016249,-39.83432,-13.05287,-0.8128997,0.042283
30.00 ,,L30,4.24,3.85,10.61,11.96,7.665,3.653932813,62,466.57356,-0.231539,123,-0.051367,0.180171,62,8.813,9.082,10.766,17.572,0.469588455,0.996936344,1.67954,6.87839,3.307956,19.211387,248.6659,3916.35996,1.335,-68.78151,24.00297,1800.74892,892.10858,908.64034,-0.00463339,0.01340638,-0.02234495,0.00046301,0.12389756,0.01820694,0.48753805,282.72,221.55,8.27751,14.22683,0.40391994,0.00169403,-40.32187,-13.00397,-0.8137714,0.04156
31.00 ,,L31,9.8,7.71,10.68,14.18,10.5925,2.335309134,39,278.34899,-0.231626,74,-0.044691,0.186935,34,8.041,6.589,8.293,16.022,0.518444214,0.996269121,1.000342,4.213151,3.600404,23.292681,160.8523,2360.91484,1.3212,-71.87614,22.72062,1161.21756,653.79426,507.42329,-0.00342648,0.01392972,-0.02578925,0.00067656,0.08312559,0.01970865,0.52006507,177.52,147.65,8.08957,14.56814,0.40658412,0.00156238,-39.00687,-13.12034,-0.8001975,0.0472
32.00 ,,L32,11,7.22,10.21,9.28,9.4275,1.412433627,29,224.2584,-0.224409,59,-0.046674,0.177735,25,6.725,4.242,9.434,13.282,0.492692336,0.987509294,0.415287,1.864489,0.591431,20.686763,221.1697,1852.331,1.3567,-50.10124,24.88919,942.48478,451.01955,491.46523,-0.00371311,0.01731789,-0.02301334,0.00035741,0.18467413,0.02028611,0.55205974,112.71,151.22,8.51865,14.87601,0.41132284,0.00182787,-39.59151,-12.99328,-0.840364,0.049522
33.00 ,,L33,9.58,7.66,9.03,9.41,8.92,0.754221453,36,286.32796,-0.22931,75,-0.065179,0.164131,33,7.495,7.074,8.385,14.877,0.490407437,0.992461641,1.061345,4.848301,3.720857,20.905916,298.0148,2300.81312,1.3945,-70.07418,25.0602,1129.46305,549.05158,580.41147,-0.00448612,0.01662639,-0.02445792,0.00061282,0.12369314,0.02078455,0.5619389,145.48,170.8,8.24967,14.82892,0.40681593,0.00173917,-39.24519,-13.07163,-0.8493533,0.050161
34.00 ,,L34,7.94,8.39,10.87,14.14,10.335,2.463904422,59,386.53017,-0.233866,104,-0.046268,0.187598,55,7.962,9.151,10.542,15.27,0.436747419,0.958929917,1.573858,6.697821,3.234651,14.449198,210.2159,3373.77544,1.2838,-67.98649,22.52515,1563.66868,682.4046,881.26408,-0.00382755,0.01254529,-0.01650581,0.00045525,0.14839616,0.01468717,0.40211327,295.03,142.84,8.29707,14.79315,0.40467264,0.00128226,-39.41459,-13.02358,-0.7645493,0.039176
35.00 ,,L35,4.27,4.1,6.65,8.03,5.7625,1.652322229,62,474.55416,-0.226977,125,-0.051154,0.175823,55,11.22,6.923,12.707,22.192,0.530629812,0.988948307,1.044747,4.568962,1.529041,34.638089,427.3025,3897.19795,1.3645,-76.10593,29.16209,1871.30386,940.5195,930.78436,-0.00511189,0.01524796,-0.02568468,0.00066326,0.12955572,0.02083267,0.55617821,268.31,255.71,8.32113,14.79629,0.40742412,0.00166068,-39.99939,-12.96717,-0.8360644,0.05032
36.00 ,,L36,7.24,8.99,8.3,9.53,8.515,0.855526154,37,267.32628,-0.230097,71,-0.047899,0.182198,35,7.883,5.419,9.429,15.547,0.511498602,0.986109349,0.651964,3.016071,2.913875,28.662492,286.5305,2276.10243,1.3161,-74.33813,27.14571,1131.53082,599.17529,532.35553,-0.00468964,0.0156361,-0.0275666,0.00081606,0.12888904,0.02182142,0.57821705,163.75,153.12,8.0723,14.31848,0.40864045,0.00141654,-39.78387,-12.89795,-0.8119001,0.050455
37.00 ,,L37,7.38,16.88,7.25,7.16,9.6675,4.164873197,34,262.28612,-0.213661,69,-0.018398,0.195263,26,6.013,6.501,10.919,11.804,0.403914591,0.981539997,1.183438,4.10297,2.035163,6.813492,181.7087,2274.36555,1.2923,-29.90463,15.69718,1085.06966,520.50556,564.5641,-0.00231786,0.01230114,-0.01579599,0.00014351,0.21309011,0.01411616,0.38421172,177.12,126.73,6.91468,13.6714,0.39753919,0.00218253,-32.60226,-12.82851,-0.7619126,0.031277
