SPS_L,NumRadicalElectrons_L,MaxPartialCharge_L,PEOE_VSA1_L,PEOE_VSA10_L,PEOE_VSA11_L,PEOE_VSA14_L,PEOE_VSA4_L,SlogP_VSA1_L,SlogP_VSA12_L,TPSA_L,EState_VSA9_L,VSA_EState2_L,VSA_EState4_L,NOCount_L,NumAliphaticHeterocycles_L,NumHAcceptors_L,fr_Imine_L,fr_bicyclic_L,ODI_HOMO_1_Free,ODI_HOMO_Free,ODI_Mean_Free,ODI_Std_Free,ALIEmin_Free,ODI_HOMO_Res,ODI_Std_Res,ESPmin_Res,ALIEmin_Res,Co_Mulliken_CoL2,Co_NPA_CoL2,ln(dr)
20.90909091,0.0,0.199222152,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.70120739,9.571414082,4.0,2.0,4.0,2.0,10.0,3.59,3.5,3.485,0.070178344,8.52067,7.06,0.145322916,-77.02544,8.00025,-0.017898,0.52145,2.27
21.87755102,0.0,0.199222152,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.58290566,12.28115634,4.0,2.0,4.0,2.0,8.0,8.29,8.27,8.1625,0.135531362,8.33244,6.38,0.965954838,-78.17631,8.08426,-0.030664,0.51015,2.16
21.33333333,0.0,0.199222152,18.94745182,41.20562857,11.79549069,0.0,0.0,9.473725908,0.0,61.64,28.93226128,10.551723,8.857225396,6.0,2.0,6.0,2.0,8.0,8.27,8.34,8.2275,0.103289641,8.32536,8.39,0.085732141,-82.27886,8.05849,-0.033437,0.51047,2.11
22.25531915,0.0,0.199222152,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.51865169,9.58510942,4.0,2.0,4.0,2.0,8.0,6.71,6.65,7.11,0.432608368,8.29972,6.58,0.597761449,-78.44796,8.10262,-0.017689,0.50724,1.97
22.21428571,0.0,0.171791113,9.799819462,0.0,11.67123957,0.0,0.0,9.799819462,0.0,31.2,9.984809465,15.03273904,2.376127068,4.0,2.0,4.0,2.0,0.0,6.24,6.66,6.9225,1.034852043,8.08246,9.2,1.19139624,-79.8806,7.71077,-0.107086,0.48895,0.71
20.90909091,0.0,0.199222152,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.66822486,9.514125848,4.0,2.0,4.0,2.0,12.0,3.56,3.5,5.1875,1.657820482,8.45023,5.58,0.622550199,-78.40407,8.09923,-0.018445,0.50697,2.14
21.6,0.0,0.171791115,9.799819462,0.0,11.67123957,0.0,0.0,9.799819462,0.0,31.2,9.984809465,15.14978584,4.941220405,4.0,2.0,4.0,2.0,0.0,6.7,7.16,7.1625,1.094540429,8.03229,8.9,1.422152857,-82.49453,7.67853,-0.072189,0.49661,1.05
24.1025641,0.0,0.200504992,9.473725908,29.7066049,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,10.74528502,7.055825323,4.0,2.0,4.0,2.0,6.0,8.71,7.53,9.4475,1.409226295,8.44973,5.51,1.189726859,-75.18648,8.05051,0.003205,0.5119,0.99
20.82352941,0.0,0.171791271,9.799819462,0.0,11.67123957,0.0,0.0,9.799819462,0.0,31.2,9.984809465,15.42629504,5.165617336,4.0,2.0,4.0,2.0,0.0,6.37,5.91,6.3525,0.859429316,8.12998,8.68,1.379898094,-81.42324,7.79367,-0.032126,0.52862,0.99
21.0,0.0,0.171781057,9.799819462,0.0,11.67123957,0.0,0.0,9.799819462,0.0,31.2,9.984809465,15.32116906,4.974304141,4.0,2.0,4.0,2.0,0.0,5.86,6.33,6.785,1.344553829,8.03834,8.36,1.5438001,-83.83985,7.65436,-0.049968,0.51292,0.94
