No,yield20,SlogP_VSA3,BCUT2D_CHGHI,NumAliphaticRings,PEOE_VSA10,LEAmin_Rest,NumAliphaticCarbocycles,LEAmin_CoL2,BCUT2D_LOGPHI,LEAmin_Free,fr_bicyclic,PEOE_VSA11,EState_VSA2,EState_VSA9,BCUT2D_LOGPLOW,BalabanJ,ALIEmin_Rest,ODI_Std_Rest,VSA_EState1,BCUT2D_MRLOW,Chi4n,MaxPartialCharge,Mol_Radius_CoL2,HOMO_LUMO_Gap_Rest,LUMO_CoL2,MinPartialCharge,LUMO_Free,EState_VSA5,ALIEmin_Free,Mol_Radius_Free,Mol_Size_L_CoL2,Pos_Surface_Area_Free,Nonpolar_Area_Rest,ALIEmax_Free,HOMO_LUMO_Gap_Free,BCUT2D_MWHI,LEAmax_Rest,Weight_CoL2,Mol_Size_L_Rest,MaxAbsEStateIndex,ODI_HOMO_1_Free,MaxAbsPartialCharge,MPI_CoL2,MinAbsEStateIndex,Nu_CoL2,MPP_Free,Overall_Average_CoL2,Len_Div_Diameter_CoL2,ESPmax_CoL2,ESPmax_Rest,VSA_EState4
L134,0,9.473725908,2.333303721,4,13.21376393,-41.79419,2,-41.64193,2.420154232,-40.73153,2,0.0,12.08368166,19.45853537,-2.218964696,1.313196011,7.98675,0.33633131,12.95651751,0.240358553,8.032577533,0.216715167,8.259,0.163391,-0.053938,-0.475167415,-0.0522,96.88001607,8.26711,9.955,14.901,1096.92422,383.08,14.15222,0.156682,16.4974673,-13.10595,617.68689,14.958,6.478258757,3.86,0.475167415,0.56599931,0.255000088,0.10427915,1.537615,-0.00384483,0.902106793,25.39918,17.50005,4.504445371
L135,0,22.31536915,2.286631681,2,13.21376393,-40.6626,0,-40.84406,2.408100912,-41.66771,2,0.0,12.08368166,19.45853537,-2.099274237,1.289196613,5.65738,16.79468219,12.76859217,0.316436979,6.545244846,0.216716372,9.38,0.017487,-0.057807,-0.475166043,-0.051556,21.89935141,8.28018,8.784,18.758,957.82885,167.79,14.59967,0.158723,16.49734192,-12.60657,633.64483,18.274,6.384296083,4.72,0.475166043,0.59459282,0.069438322,0.08987035,1.955747,-0.00374379,0.99989339,23.33314,35.12317,6.732857335
L136,0,9.473725908,2.291618293,2,25.29744559,-41.56474,0,-41.34063,2.418024778,-40.99672,2,0.0,12.08368166,19.45853537,-2.083389996,1.368949564,8.06818,0.197863589,12.71588549,0.319261327,6.172579216,0.21705674,7.986,0.160842,-0.056833,-0.474797118,-0.049841,0.0,8.42281,8.155,13.052,860.8378,301.44,14.76085,0.162115,16.49737731,-13.10007,605.5916,13.05,6.357942743,5.93,0.474797118,0.68625385,0.040111802,0.07409019,1.993248,-0.00729419,0.817180065,23.07795,17.87259,6.427995088
L138,0,9.473725908,2.393133424,3,25.29744559,-40.4094,1,-40.01181,2.383444722,-40.86486,0,11.79549069,23.91949375,19.45853537,-2.328495467,1.360673927,7.92737,0.70042844,12.20041461,0.237498376,4.604367153,0.187523763,7.254,0.22877,-0.038444,-0.478091972,-0.002214,23.96854623,8.20239,9.828,13.164,878.0273,272.7,14.72452,0.235897,16.50113078,-13.13949,435.42541,13.136,6.100207305,8.79,0.478091972,0.84519523,0.113221263,0.07889471,1.183941,-0.00487205,0.907361456,29.04462,18.45659,2.450848175
L139,0,9.473725908,2.276407987,2,24.37980421,-40.06398,0,-40.01029,2.349217445,-39.18392,3,0.0,12.08368166,23.87568631,-2.130318438,1.653991603,8.05495,0.553240454,18.26743981,0.291565583,3.913571667,0.219921709,7.303,0.170176,-0.065873,-0.475086988,-0.051465,0.0,8.4414,7.238,12.842,737.6924,235.27,14.10095,0.170992,16.4987106,-12.99662,451.42482,12.842,6.409315004,7.66,0.475086988,0.62969773,0.189265472,0.1477378,0.987563,-0.00477995,0.879227715,37.10585,22.98255,3.415275311
L140,0,15.536432,2.244317792,1,12.64872279,-39.76428,0,-39.56052,2.280587038,-40.0057,0,0.0,6.041840829,9.729267686,-2.066572323,1.68147948,8.31377,5.810413066,18.95462137,0.319074248,2.961010924,0.21765512,7.974,0.161504,-0.07788,-0.474783322,-0.041677,0.0,8.26706,7.459,15.855,699.50519,165.99,14.42387,0.182434,32.19730442,-12.99352,422.40644,15.848,13.08721108,9.15,0.474783322,0.80925289,0.021234846,0.13672989,1.260634,-0.00404801,0.994168548,32.72294,22.91505,3.067330475
L141,0,4.736862954,2.231378699,1,12.30080996,-40.24407,0,-40.01506,2.188138681,-40.33121,0,0.0,6.041840829,4.736862954,-2.130519343,1.911779015,8.00899,4.107325011,5.670885771,0.291048324,2.081804481,0.235293935,7.272,0.177723,-0.080495,-0.474082893,-0.048084,0.0,8.07233,7.646,14.536,595.6263,151.36,14.11097,0.181589,16.49484614,-12.92576,328.27536,14.537,5.670885771,7.12,0.474082893,0.99024374,0.227135561,0.13310915,0.974255,-0.00399031,0.999449945,46.46065,31.04491,2.464867147
L142,0,9.473725908,2.537955773,3,17.49867213,-41.85393,1,-41.30207,2.527473373,-41.7649,0,12.20793278,24.29161443,19.45853537,-2.375737044,1.306732424,8.24693,0.409290545,13.77060658,0.155637432,6.373995296,0.200149074,9.044,0.219587,-0.039997,-0.469312134,-0.010529,0.0,8.58534,8.707,17.904,951.73399,306.39,14.35093,0.221906,16.52570482,-13.12087,573.59115,17.92,6.885303288,7.19,0.469312134,0.77500259,0.113038317,0.07531758,1.547442,-0.00228559,0.98982751,31.27588,21.43986,4.141243632
L146,0,9.473725908,2.255103274,2,12.71084835,-39.73842,0,-39.48424,2.105977368,-39.47743,0,0.0,12.14580722,9.473725908,-2.168972294,2.063365004,8.27063,2.591489678,10.67939815,0.240873976,1.185799638,0.272992054,5.93,0.197743,-0.079942,-0.471825932,-0.036912,0.0,8.44707,6.024,11.799,478.35815,93.27,14.8521,0.200727,16.55299366,-13.57474,229.14247,11.799,5.387731481,10.77,0.471825932,1.10326765,0.168709373,0.15287239,0.742818,0.00194162,0.994856661,41.30058,24.05674,0.0
L147,0,0.0,2.235604412,0,0.0,-34.2537,0,-33.77669,2.311542845,-34.24851,0,0.0,12.08368166,0.0,-2.323147555,2.43699068,6.92671,5.837633831,0.0,0.429217875,2.874928406,0.051798461,5.917,0.196418,-0.029725,-0.311413298,-0.001389,22.25380597,7.11183,5.726,11.417,629.07891,197.74,13.76525,0.202786,14.98832198,-12.8817,329.34631,11.032,3.473398526,7.99,0.311413298,0.81785394,0.25212963,0.14548996,1.506688,0.00515132,0.964762549,56.03583,32.1964,5.330161565
L148,0,0.0,2.206104293,1,0.0,-32.1012,1,-26.23341,2.169205025,-32.7469,0,0.0,0.0,0.0,-2.466122674,2.340034232,6.82337,7.680160724,0.0,0.309195172,1.821914529,0.021757997,4.971,0.27966,-0.029076,-0.315449209,0.087254,25.68328649,6.889,4.806,9.657,503.84517,165.68,13.65248,0.293451,14.98658183,-13.73775,203.1913,9.235,3.342407407,24.68,0.315449209,1.16550728,0.707175926,0.12316481,0.879714,0.0075606,0.971333736,47.49427,22.22482,0.0
L149,0,0.0,1.998880217,0,0.0,-37.43689,0,-32.95513,2.06480315,-37.57299,0,0.0,12.64872279,10.84019487,-2.133348715,2.746978189,6.99778,7.321015555,0.0,0.267757657,0.805642049,0.062389942,5.772,0.221124,-0.043623,-0.394402824,-0.000397,0.0,7.18405,5.101,11.47,385.04408,77.31,14.50921,0.227536,16.25192547,-12.52756,198.12842,10.239,8.663206727,13.79,0.394402824,1.17991579,0.003981481,0.23758401,0.811409,0.00981574,0.993589744,65.24344,42.49013,6.521111111
L150,0,13.08951281,2.234774936,1,0.0,-33.87322,1,-32.39656,2.193274794,-33.86899,0,0.0,0.0,0.0,-2.4879615,1.51983105,6.86556,2.716307236,0.0,0.280961559,3.30912677,0.022400364,7.55,0.200128,-0.027908,-0.308374305,0.001203,36.81018948,7.29837,6.912,14.866,767.06851,241.2,13.57608,0.208391,15.02014369,-13.14462,355.38366,14.866,3.76174304,14.16,0.308374305,0.89233198,0.581174414,0.14749822,0.97833,-2.32e-05,0.984503311,44.02826,21.77061,2.740523784
L151,0,0.0,2.216304056,0,11.49902367,-37.67962,0,-37.5833,2.299045207,-37.64646,0,0.0,12.08368166,9.473725908,-2.313244098,2.276304527,6.94608,1.392612204,10.45920436,0.40902101,2.67405994,0.118379765,6.898,0.191749,-0.029753,-0.496768202,-0.00238,11.12690298,7.30389,7.089,12.575,650.61403,164.32,15.02328,0.197643,16.46752813,-13.30502,361.34512,12.33,5.229602179,6.23,0.496768202,0.83987887,0.156760204,0.1154806,1.165702,0.00571661,0.911496086,41.93249,22.26068,2.413829733
