ID,Ligand ID,Alkene,Alkyl Iodide,Ligand,ln(dr)
46,L26,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C[C@H]1CN(C2=CC=CC(C(C)(C)C)=C2)C(C3=N[C@@H](CC(C)C)CN3C4=CC(C(C)(C)C)=CC=C4)=N1)C,0.8
2,L43,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC([C@H]1COC(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)[C-]C=C2)=N1)C.C5=CC=C[C-]5.[Fe+2],-3
10,L44,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C)([C@H]1COC(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)[C-]C=C2)=N1)C.C5=CC=C[C-]5.[Fe+2],-2.03
3,L45,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2=N[C@H](CC3=CC=CC=C3)CO2)=C[C-]C=C1P(C4=CC=CC=C4)C5=CC=CC=C5.C6=CC=C[C-]6.[Fe+2],-3
1,L46,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=N[C@@H](C5=CC=CC=C5)CO4)C=C[C-]1.C6=CC=C[C-]6.[Fe+2],-3
11,L47,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C[C@H](N(C)C)C1=C([C-]C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C4=CC=C[C-]4.[Fe+2],-1.97
13,L48,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC([C@@H](CO1)N=C1C2=CC=C(C=CC=C3)C3=C2P(C4=CC=CC=C4)C5=CC=CC=C5)(C)C,-1.41
9,L49,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC([C@H](CO1)N=C1[C@H]2CCCCN2P(C3=CC=CC=C3)C4=CC=CC=C4)C,-2.15
96,L5,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=CC=C3)(C)C(O4)=N[C@@H]5[C@H]4CC6=C5C=CC=C6,1.74
19,L50,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,-1.1
6,L51,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC([C@@H](CO1)N=C1CC2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)(C)C,-2.83
14,L52,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2=N[C@H](C3=CC=CC=C3)CO2)=CC=C[C-]1.C4=C[C-]C=C4.[Fe+2],-1.41
18,L53,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,O=[S@](C(C)(C)C)N[C@H](CP(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=CC=C3,-1.16
15,L55,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C1=CC(C2=N[C@@H](CC3=CC=CC=C3)CO2)=C(NC4=C5C=C(C(C)(C)C)C=C4C6=N[C@@H](CC7=CC=CC=C7)CO6)C5=C1)(C)C,-1.39
16,L56,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(N(C(C)C)P1OC2=C(C(C=CC=C3)=C3C=C2)C4=C(C=CC5=C4C=CC=C5)O1)C,-1.39
4,L57,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC([C@@H](CO1)N=C1C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)(C)C,-2.94
5,L58,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC([C@@H](CO1)N=C1C2=CC(OC)=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)(C)C,-2.94
8,L59,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC([C@@H](CO1)N=C1C2=CC(C(F)(F)F)=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)(C)C,-2.48
20,L68,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2=C(C3=N[C@@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)C=CC6=C2C=CC=C6)=C(C7=N[C@@H](C8=CC=CC=C8)[C@H](C9=CC=CC=C9)O7)C=CC%10=C1C=CC=C%10,-1.1
21,L68,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,FC(C1=NC(C2=NCCO2)=CC=C1)(F)F,-0.85
25,L68,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC1=CC=CC(C2=CC=CC(C)=N2)=N1,-0.16
67,L69,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C(C=CC=C3)=C3C4)[C@@H]4O2)(CC5=CC=C(C(C)(C)C)C=C5)C6=N[C@@H]7[C@@H](CC8=C7C=CC=C8)O6)(C)C,1.05
41,L70,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)(C)C,0.66
92,L72,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CC2)C3=N[C@@H](C4=CC=CC=C4)CO3)=N[C@@H](C5=CC=CC=C5)CO1,1.66
107,L8,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C1=N[C@@H](C(C=C(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)C=C3)=C3C4)[C@@H]4O1)(C)C5=N[C@@H]6[C@@H](CC7=C6C=C(C8=CC(C(C)(C)C)=CC(C(C)(C)C)=C8)C=C7)O5,2.08
48,L80,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C1=N[C@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)(C)C5=N[C@H](C6=CC=CC=C6)C(C7=CC=CC=C7)(C8=CC=CC=C8)O5,0.85
69,L83,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C1=N[C@@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)(CC5=CC=CC=C5)C6=N[C@@H](C7=CC=CC=C7)C(C8=CC=CC=C8)(C9=CC=CC=C9)O6,1.1
122,L9,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C1=CC(C(C)(C)C)=CC(C2=CC3=C(C=C2)C[C@H]4OC(C5(CC5)C6=N[C@@H](C(C=C(C7=CC(C(C)(C)C)=CC(C(C)(C)C)=C7)C=C8)=C8C9)[C@@H]9O6)=N[C@H]43)=C1)(C)C,2.59
89,L93,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CCC2)C3=N[C@@H](C(C=CC=C4)=C4C5)[C@@H]5O3)=N[C@@H]6[C@@H](CC7=C6C=CC=C7)O1,1.66
87,L94,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CCCC2)C3=N[C@@H](C(C=CC=C4)=C4C5)[C@@H]5O3)=N[C@@H]6[C@@H](CC7=C6C=CC=C7)O1,1.59
82,L95,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CCCCC2)C3=N[C@@H](C(C=CC=C4)=C4C5)[C@@H]5O3)=N[C@@H]6[C@@H](CC7=C6C=CC=C7)O1,1.45
90,L96,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CC(C=CC=C3)=C3C2)C4=N[C@@H](C(C=CC=C5)=C5C6)[C@@H]6O4)=N[C@@H]7[C@@H](CC8=C7C=CC=C8)O1,1.66
75,L97,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C1=N[C@@H](C(C=CC=C2)=C2C3)[C@@H]3O1)(CC4=CC=CC=C4)C5=N[C@@H]6[C@@H](CC7=C6C=CC=C7)O5,1.27
73,L98,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C1=N[C@@H](C(C=CC=C2)=C2C3)[C@@H]3O1)C4=N[C@@H]5[C@@H](CC6=C5C=CC=C6)O4,1.15
91,L99,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CCCCCC2)C3=N[C@@H](C(C=CC=C4)=C4C5)[C@@H]5O3)=N[C@@H]6[C@@H](CC7=C6C=CC=C7)O1,1.66
